"","x"
"1",0.071950248
"2",0.001202872
"3",-0.013736853
"4",-0.157974431
"5",0.053348949
"6",0.025565973
"7",-0.051556835
"8",-0.361387977
"9",-0.094102153
"10",0.003825
"11",0.038735321
"12",0.079358271
"13",0.029180518
"14",0.001215926
"15",0.024721971
"16",-0.048807332
"17",0.276938608
"18",-0.156742463
"19",-0.049175391
"20",0.027021161
"21",-0.084941456
"22",-0.069443771
"23",0.16108816
"24",0.062271646
"25",-0.071053633
"26",-0.058372089
"27",-0.028907964
"28",-0.072538504
"29",-0.044912049
"30",0.017775944
"31",-0.010229001
"32",-0.080342957
"33",0.251928142
"34",-0.022093067
"35",-0.044194827
"36",0.046802452
"37",-0.013024756
"38",-0.397843787
"39",0.013106516
"40",-0.060878286
"41",0.058254889
"42",0.002880087
"43",-0.000354239
"44",-0.116973707
"45",0.05713456
"46",0.128765514
"47",-0.030637452
"48",-0.157294402
"49",-0.149004111
"50",-0.041651139
"51",-0.228299925
"52",0.057098797
"53",-0.167986819
"54",-0.017864296
"55",0.103302172
"56",-0.000584194
"57",0.108047655
"58",-0.067593524
"59",-0.007634708
"60",-0.199209282
"61",-0.051204333
"62",-0.151582608
"63",0.12594848
"64",-0.038589904
"65",0.100221446
"66",0.047499111
"67",0.118344119
"68",-0.097046563
"69",-0.037717113
"70",-0.427921006
"71",0.206643274
"72",-0.142836401
"73",-0.016251215
"74",-0.012105712
"75",0.025995901
"76",-0.122272798
"77",-0.056009004
"78",0.02110838
"79",-0.006056914
"80",0.015770724
"81",0.093007973
"82",-0.062698314
"83",-0.389340231
"84",-0.043257007
"85",-0.003014752
"86",-0.201639959
"87",-0.104724237
"88",-0.016813704
"89",0.08129411
"90",-0.006247589
"91",-0.078144083
"92",-0.0905642
"93",-0.511232206
"94",0.0952261
"95",-0.128813276
"96",-0.1314239
"97",-0.030556628
"98",0.015490344
"99",-0.021361241
"100",-0.038597533
"101",0.007014206
"102",-0.080936858
"103",-0.466651151
"104",0.060388496
"105",-0.066504845
"106",-0.02686269
"107",-0.13970817
"108",-0.185557851
"109",-0.001547226
"110",0.00248467
"111",-0.027398774
"112",0.019114306
"113",-0.028089294
"114",-0.102811644
"115",0.025057068
"116",0.034166983
"117",-0.058317849
"118",-0.034181842
"119",-0.035484442
"120",-0.029354045
"121",-0.012651154
"122",0.057569435
