"","x"
"1",0.069615159
"2",2.65134624
"3",-0.066765871
"4",0.048764859
"5",-0.039719548
"6",0.108450685
"7",-0.007465925
"8",-0.020205106
"9",-0.114791479
"10",0.031103645
"11",-0.031659927
"12",-0.0403932
"13",0.111663614
"14",-0.10587218
"15",0.014982376
"16",-0.00387701
"17",0.270988975
"18",0.124528799
"19",-0.021120634
"20",0.423214231
"21",-0.12784883
"22",-0.015320506
"23",0.044908438
"24",-0.095129456
"25",-0.01946136
"26",-0.039555635
"27",0.058193479
"28",-0.03667232
"29",0.126118694
"30",-0.009137954
"31",-0.108556416
"32",-0.023671832
"33",0.161779437
"34",-0.051875796
"35",0.164333258
"36",0.443000589
"37",-0.012564864
"38",0.044835363
"39",0.069433484
"40",0.433850561
"41",-0.053201046
"42",-0.076803829
"43",-0.021510925
"44",0.173299823
"45",0.001218353
"46",0.209849272
"47",-0.143668558
"48",0.073436056
"49",0.046979223
"50",0.046870861
"51",0.100055371
"52",0.130608831
"53",0.036090289
"54",-0.054715361
"55",0.154211197
"56",0.142667923
"57",-0.02947196
"58",-0.107651915
"59",0.083815728
"60",-0.062140908
"61",-0.000830974
"62",0.294054423
"63",0.235790048
"64",-0.1451579
"65",-0.012259807
"66",0.121142063
"67",-0.084858145
"68",0.04781941
"69",-0.164968636
"70",0.211717997
"71",-0.131668534
"72",-0.098339166
"73",-0.030482497
"74",-0.040030565
"75",0.107679997
"76",0.017446909
"77",0.047063384
"78",0.022193227
"79",-0.058955516
"80",0.229556952
"81",-0.002439584
"82",0.292514954
"83",0.168767724
"84",0.052400742
"85",0.076185499
"86",0.0235602
"87",0.485932503
"88",0.234678541
"89",-0.146697786
"90",0.000890169
"91",0.151387964
"92",0.045860324
"93",0.141605888
"94",0.06747869
"95",0.018141423
"96",0.005485807
"97",0.019524846
"98",0.016605888
"99",-0.038541045
"100",-0.201279606
"101",-0.096113708
"102",-0.202474441
"103",0.185030613
"104",0.070148025
"105",0.074867282
"106",-0.211705174
"107",0.023939405
"108",-0.160148825
"109",0.44706038
"110",-0.119888749
