"","x"
"1",-0.059472952
"2",0.004254546
"3",0.085200872
"4",0.223436918
"5",0.074246134
"6",0.01378664
"7",0.656603183
"8",-0.028062377
"9",0.034707513
"10",0.013230648
"11",0.027444448
"12",-0.043207143
"13",-0.117177103
"14",0.119531359
"15",-0.026368056
"16",-0.051683579
"17",-0.093780194
"18",-0.407036577
"19",-0.064082358
"20",-0.128906522
"21",-0.030544553
"22",-0.052257154
"23",-0.016187105
"24",-0.070115183
"25",-0.101279531
"26",-0.123662565
"27",0.011173095
"28",-0.023325715
"29",0.042850699
"30",-0.060964737
"31",-0.012382899
"32",-0.069287632
"33",-0.0546625
"34",-0.084540162
"35",-0.157687698
"36",-0.010272298
"37",-0.132481787
"38",0.245211806
"39",-0.013503228
"40",-0.089056824
"41",0.11739501
"42",-0.317045007
"43",0.120234933
"44",-0.083085094
"45",0.043324079
"46",-0.11437187
"47",0.024705138
"48",-0.145627353
"49",-0.171451006
"50",0.296446767
"51",-0.056969915
"52",0.0445753
"53",-0.046965215
"54",0.066271867
"55",-0.121138666
"56",0.001894083
"57",-0.084339533
"58",-0.31725559
"59",-0.0787482
"60",0.213560428
"61",-0.090645824
"62",-0.207849536
"63",-0.132553432
"64",0.013843026
"65",-0.059436593
"66",-0.001735959
"67",0.020188894
"68",0.004488792
"69",-0.051086817
"70",-0.04934052
"71",-0.013677035
"72",0.058154788
"73",-0.692345653
"74",-0.112152252
"75",-0.043044124
"76",-0.056035016
"77",0.183730688
"78",-0.172821079
"79",-0.064574931
"80",0.141145315
"81",-0.110950325
"82",-0.060987268
"83",0.009033289
"84",-0.181551669
"85",-0.171864722
"86",0.081018414
"87",-0.094954644
"88",-0.193312142
"89",0.14265367
"90",-0.056850169
"91",0.121650066
"92",0.088654008
"93",-0.094962869
"94",0.176208343
"95",-0.125928674
"96",0.060882177
"97",-0.019040022
"98",0.012965646
"99",-0.11258373
"100",-0.041182909
"101",0.031848755
"102",0.018087234
"103",-0.129418228
"104",0.179832067
"105",0.00394329
"106",0.013936367
"107",-0.136199866
"108",0.160944786
"109",0.119855013
"110",0.289136257
"111",0.004970994
"112",0.016259637
"113",-0.102586422
"114",-0.151026104
"115",-0.038126741
"116",-0.023468647
"117",0.371564712
"118",0.034467783
"119",-0.068160568
"120",-0.120885406
"121",-0.019561324
"122",-0.041182909
"123",0.108874049
"124",-0.274516259
"125",0.211948123
"126",0.090977516
"127",-0.127356503
"128",0.235070553
"129",-0.137773786
"130",0.193896737
"131",0.014833655
"132",0.024612632
"133",-0.117546592
"134",0.092955913
"135",-0.250222478
"136",-0.052810881
"137",-0.023506437
"138",-0.093766067
"139",-0.048548017
"140",-0.292132948
"141",-0.045085345
"142",-0.179113958
"143",0.016639199
"144",-0.39303479
"145",-0.013188157
"146",-0.066649888
"147",-0.033339772
"148",-0.189181302
"149",0.045847621
"150",-0.096081052
"151",-0.130032752
"152",-0.001860295
"153",0.003607716
"154",0.149457659
"155",0.035677042
"156",-0.234364066
"157",-0.114122782
